car_id,brand,model,year,mileage,horsepower,price
1,Renault,Clio,2016,133403,151,50500
2,Toyota,Yaris,2021,55882,129,73500
3,Toyota,Yaris,2025,8304,118,85000
4,Peugeot,308,2016,91451,119,45600
5,Citroen,C4,2012,185858,76,11600
6,Volkswagen,Polo,2019,85136,158,62300
7,Volkswagen,T-Roc,2011,236811,145,18300
8,Toyota,Corolla,2014,262513,163,26000
9,Citroen,C3,2015,107571,171,49900
10,Citroen,C3,2019,106120,152,59600
11,Renault,Captur,2013,229825,113,12100
12,Citroen,C3 Aircross,2025,3378,164,85500
13,Renault,Clio,2009,237244,137,8000
14,Citroen,C3,2023,59340,83,62900
15,Citroen,C3,2015,224573,139,22700
16,Volkswagen,T-Roc,2020,97547,130,77500
17,Volkswagen,Polo,2009,187593,152,21400
18,Volkswagen,T-Roc,2010,215436,132,24400
19,Citroen,C3 Aircross,2008,359288,133,8000
20,Citroen,C3 Aircross,2018,84715,65,47500
21,Citroen,C3 Aircross,2013,245819,103,8000
22,Toyota,C-HR,2014,133045,164,46000
23,Toyota,Yaris,2018,163441,177,54400
24,Citroen,C3,2009,241030,75,8000
25,Volkswagen,Polo,2025,33946,135,94000
26,Peugeot,308,2024,30543,134,85000
27,Peugeot,2008,2017,157210,121,40500
28,Toyota,Corolla,2011,197640,140,25400
29,Toyota,Yaris,2015,115575,94,43100
30,Renault,Clio,2018,71622,127,56400
31,Peugeot,2008,2012,306262,125,8000
32,Peugeot,308,2021,75195,110,67600
33,Volkswagen,Golf,2022,100247,147,73700
34,Renault,Clio,2020,112885,96,58600
35,Peugeot,208,2025,21213,124,88800
36,Peugeot,208,2022,86305,134,72100
37,Renault,Clio,2015,117522,175,49400
38,Volkswagen,Polo,2013,209655,165,29800
39,Volkswagen,Golf,2021,140039,136,57500
40,Volkswagen,Polo,2014,167171,159,40100
41,Toyota,Yaris,2018,92474,174,65600
42,Toyota,Yaris,2009,301180,141,8000
43,Renault,Captur,2015,190167,96,30300
44,Toyota,C-HR,2009,340783,137,8000
45,Toyota,Corolla,2016,118423,98,40700
46,Volkswagen,Polo,2017,140326,74,46600
47,Renault,Megane,2011,139147,81,17600
48,Citroen,C3,2015,162783,134,37200
49,Citroen,C3 Aircross,2024,10724,149,82000
50,Renault,Clio,2016,124116,84,32300
51,Citroen,C4,2014,238998,174,28300
52,Citroen,C3 Aircross,2023,58571,76,61600
53,Volkswagen,Golf,2009,150801,98,19900
54,Peugeot,2008,2022,67918,79,59400
55,Renault,Captur,2012,262357,135,10100
56,Peugeot,308,2012,126393,166,44700
57,Renault,Megane,2014,242104,164,24300
58,Toyota,Corolla,2012,201930,168,19600
59,Peugeot,308,2008,213974,117,8000
60,Peugeot,308,2013,281148,69,8000
61,Volkswagen,Polo,2014,185456,176,44100
62,Peugeot,208,2008,360378,175,8000
63,Renault,Megane,2019,118498,172,57900
64,Toyota,Corolla,2008,202688,139,9700
65,Citroen,C3,2011,263846,105,8000
66,Volkswagen,T-Roc,2024,9974,97,89000
67,Renault,Captur,2021,23555,152,75800
68,Peugeot,308,2021,76369,144,65900
69,Citroen,C3 Aircross,2011,323430,150,8000
70,Volkswagen,Golf,2020,120766,118,60600
71,Volkswagen,T-Roc,2013,236979,171,24500
72,Renault,Megane,2017,97690,148,54600
73,Citroen,C4,2022,58508,166,70800
74,Peugeot,2008,2010,201474,107,10200
75,Renault,Clio,2017,116477,70,36700
76,Peugeot,308,2010,248845,89,8000
77,Volkswagen,Golf,2020,88966,179,76800
78,Renault,Megane,2015,136865,124,31000
79,Renault,Captur,2015,100093,150,48200
80,Toyota,C-HR,2018,183820,157,43800
81,Toyota,Corolla,2025,32116,125,84300
82,Volkswagen,Golf,2015,210363,127,37300
83,Peugeot,308,2022,39084,107,69800
84,Citroen,C3 Aircross,2010,187154,84,10600
85,Peugeot,208,2021,71850,72,63600
86,Peugeot,308,2020,113688,174,60700
87,Toyota,Corolla,2023,36747,114,78800
88,Volkswagen,T-Roc,2025,30006,99,82800
89,Volkswagen,Golf,2008,267357,116,8000
90,Peugeot,308,2012,243178,140,12600
91,Toyota,C-HR,2008,182705,124,11300
92,Peugeot,208,2016,145936,108,41600
93,Volkswagen,Golf,2021,72544,160,71100
94,Toyota,Yaris,2019,76429,148,60600
95,Renault,Clio,2015,143818,95,27100
96,Peugeot,308,2011,286305,97,8000
